Round,nodes alive,sent,avg energy,max energy,min energy
0,0,0,0.999991,0.999999,0.999755
10,0,0,0.999900,0.999985,0.997301
20,0,0,0.999814,0.999972,0.995086
30,0,0,0.999755,0.999956,0.994768
40,0,0,0.999697,0.999932,0.994227
50,0,0,0.999625,0.999911,0.993180
60,0,0,0.999570,0.999897,0.992640
70,0,0,0.999488,0.999881,0.990894
80,0,0,0.999426,0.999865,0.990113
90,0,0,0.999343,0.999849,0.988372
100,0,0,0.999281,0.999834,0.987583
110,0,0,0.999213,0.999819,0.986553
120,0,0,0.999154,0.999792,0.986013
130,0,0,0.999076,0.999774,0.984502
140,0,0,0.999017,0.999757,0.984204
150,0,0,0.998940,0.999742,0.982713
160,0,0,0.998875,0.999723,0.982153
170,0,0,0.998795,0.999706,0.980413
180,0,0,0.998735,0.999689,0.980104
190,0,0,0.998664,0.999672,0.978848
200,0,0,0.998601,0.999656,0.978307
210,0,0,0.998524,0.999640,0.976570
220,0,0,0.998462,0.999625,0.975795
230,0,0,0.998398,0.999610,0.975006
240,0,0,0.998345,0.999594,0.974704
250,0,0,0.998258,0.999575,0.972946
260,0,0,0.998204,0.999561,0.972406
270,0,0,0.998123,0.999541,0.970890
280,0,0,0.998062,0.999525,0.970099
290,0,0,0.997979,0.999505,0.968351
300,0,0,0.997917,0.999489,0.967792
310,0,0,0.997843,0.999473,0.966772
320,0,0,0.997785,0.999455,0.966219
330,0,0,0.997712,0.999439,0.964954
340,0,0,0.997654,0.999422,0.964419
350,0,0,0.997574,0.999406,0.962681
360,0,0,0.997520,0.999393,0.962143
370,0,0,0.997447,0.999375,0.960880
380,0,0,0.997387,0.999359,0.960326
390,0,0,0.997303,0.999341,0.958578
400,0,0,0.997245,0.999324,0.958032
410,0,0,0.997159,0.999308,0.956296
420,0,0,0.997104,0.999294,0.955987
430,0,0,0.997027,0.999276,0.954720
440,0,0,0.996964,0.999261,0.954181
450,0,0,0.996896,0.999244,0.953145
460,0,0,0.996840,0.999230,0.952847
470,0,0,0.996776,0.999213,0.952056
480,0,0,0.996717,0.999196,0.951503
490,0,0,0.996653,0.999177,0.950944
500,0,0,0.996593,0.999163,0.950160
510,0,0,0.996527,0.999145,0.949145
520,0,0,0.996464,0.999130,0.948366
530,0,0,0.996382,0.999111,0.946630
540,0,0,0.996317,0.999094,0.945845
550,0,0,0.996233,0.999075,0.944100
560,0,0,0.996174,0.999058,0.943543
570,0,0,0.996102,0.999037,0.942721
580,0,0,0.996039,0.999023,0.941708
590,0,0,0.995964,0.999005,0.940438
600,0,0,0.995897,0.998990,0.939182
610,0,0,0.995830,0.998970,0.938392
620,0,0,0.995777,0.998955,0.938089
630,0,0,0.995694,0.998937,0.936107
640,0,0,0.995634,0.998923,0.935572
650,0,0,0.995559,0.998904,0.934286
660,0,0,0.995502,0.998889,0.933741
670,0,0,0.995440,0.998870,0.932948
680,0,0,0.995374,0.998853,0.932147
690,0,0,0.995309,0.998835,0.931588
