Round,nodes alive,sent,avg energy,max energy,min energy
0,0,0,0.999991,0.999999,0.999755
10,0,0,0.999900,0.999985,0.997301
20,0,0,0.999812,0.999971,0.995079
30,0,0,0.999722,0.999958,0.992625
40,0,0,0.999631,0.999945,0.990171
50,0,0,0.999543,0.999930,0.987949
60,0,0,0.999452,0.999917,0.985496
70,0,0,0.999364,0.999903,0.983274
80,0,0,0.999274,0.999889,0.980820
90,0,0,0.999186,0.999875,0.978598
100,0,0,0.999095,0.999862,0.976144
110,0,0,0.999007,0.999848,0.973923
120,0,0,0.998917,0.999834,0.971469
130,0,0,0.998829,0.999820,0.969247
140,0,0,0.998738,0.999807,0.966793
150,0,0,0.998650,0.999792,0.964571
160,0,0,0.998560,0.999779,0.962118
170,0,0,0.998472,0.999765,0.959896
180,0,0,0.998381,0.999752,0.957442
190,0,0,0.998290,0.999738,0.954988
200,0,0,0.998203,0.999724,0.952766
210,0,0,0.998112,0.999711,0.950312
220,0,0,0.998024,0.999696,0.948091
230,0,0,0.997933,0.999683,0.945637
240,0,0,0.997845,0.999669,0.943415
250,0,0,0.997755,0.999656,0.940961
260,0,0,0.997667,0.999641,0.938739
270,0,0,0.997576,0.999628,0.936286
280,0,0,0.997486,0.999615,0.933832
290,0,0,0.997398,0.999601,0.931610
300,0,0,0.997307,0.999587,0.929156
310,0,0,0.997219,0.999573,0.926934
320,0,0,0.997128,0.999560,0.924480
330,0,0,0.997038,0.999546,0.922027
340,0,0,0.996950,0.999532,0.919805
350,0,0,0.996859,0.999519,0.917351
360,0,0,0.996771,0.999505,0.915129
370,0,0,0.996680,0.999491,0.912675
380,0,0,0.996593,0.999477,0.910454
390,0,0,0.996502,0.999464,0.908000
400,0,0,0.996411,0.999451,0.905546
410,0,0,0.996324,0.999436,0.903324
420,0,0,0.996233,0.999423,0.900870
430,0,0,0.996145,0.999409,0.898649
440,0,0,0.996054,0.999395,0.896195
450,0,0,0.995966,0.999381,0.893973
460,0,0,0.995876,0.999368,0.891519
470,0,0,0.995788,0.999353,0.889297
480,0,0,0.995697,0.999340,0.886843
490,0,0,0.995606,0.999327,0.884390
500,0,0,0.995518,0.999313,0.882168
510,0,0,0.995428,0.999299,0.879714
520,0,0,0.995340,0.999285,0.877492
530,0,0,0.995249,0.999272,0.875038
540,0,0,0.995161,0.999258,0.872817
550,0,0,0.995071,0.999244,0.870363
560,0,0,0.994980,0.999231,0.867909
570,0,0,0.994892,0.999217,0.865687
580,0,0,0.994801,0.999204,0.863233
590,0,0,0.994714,0.999189,0.861012
600,0,0,0.994623,0.999176,0.858558
610,0,0,0.994535,0.999162,0.856336
620,0,0,0.994444,0.999148,0.853882
630,0,0,0.994354,0.999135,0.851428
640,0,0,0.994266,0.999121,0.849206
650,0,0,0.994175,0.999108,0.846753
660,0,0,0.994087,0.999093,0.844531
670,0,0,0.993997,0.999080,0.842077
680,0,0,0.993909,0.999066,0.839855
690,0,0,0.993818,0.999052,0.837401
