Round,nodes alive,sent,avg energy,max energy,min energy
0,0,0,0.999996,0.999999,0.752842
10,0,0,0.999953,0.999991,0.999495
20,0,0,0.999913,0.999978,0.998786
30,0,0,0.999867,0.999969,0.998075
40,0,0,0.999825,0.999962,0.997574
50,0,0,0.999771,0.999951,0.995953
60,0,0,0.999732,0.999933,0.995478
70,0,0,0.999681,0.999923,0.994083
80,0,0,0.999636,0.999911,0.993231
90,0,0,0.999593,0.999901,0.992976
100,0,0,0.999550,0.999892,0.992473
110,0,0,0.999504,0.999883,0.991547
120,0,0,0.999461,0.999866,0.991063
130,0,0,0.999406,0.999856,0.989433
140,0,0,0.999371,0.999843,0.989397
150,0,0,0.999313,0.999832,0.987562
160,0,0,0.999272,0.999821,0.987269
170,0,0,0.999217,0.999797,0.985656
180,0,0,0.999178,0.999787,0.985150
190,0,0,0.999129,0.999776,0.983985
200,0,0,0.999091,0.999751,0.983495
210,0,0,0.999039,0.999741,0.982337
220,0,0,0.999000,0.999723,0.981834
230,0,0,0.998953,0.999715,0.981340
240,0,0,0.998915,0.999704,0.981066
250,0,0,0.998864,0.999695,0.980123
260,0,0,0.998822,0.999687,0.979641
270,0,0,0.998777,0.999660,0.978691
280,0,0,0.998732,0.999648,0.977980
290,0,0,0.998680,0.999638,0.976597
300,0,0,0.998643,0.999614,0.976564
310,0,0,0.998595,0.999604,0.975402
320,0,0,0.998552,0.999589,0.974893
330,0,0,0.998505,0.999576,0.973964
340,0,0,0.998461,0.999564,0.973456
350,0,0,0.998413,0.999556,0.972533
360,0,0,0.998371,0.999545,0.972278
370,0,0,0.998322,0.999528,0.971124
380,0,0,0.998281,0.999519,0.970801
390,0,0,0.998231,0.999511,0.969651
400,0,0,0.998187,0.999499,0.969157
410,0,0,0.998145,0.999489,0.968682
420,0,0,0.998100,0.999480,0.968189
430,0,0,0.998053,0.999468,0.967480
440,0,0,0.998013,0.999458,0.967203
450,0,0,0.997969,0.999449,0.966274
460,0,0,0.997920,0.999438,0.965542
470,0,0,0.997876,0.999418,0.964601
480,0,0,0.997840,0.999408,0.964556
490,0,0,0.997789,0.999400,0.963396
500,0,0,0.997747,0.999376,0.962673
510,0,0,0.997687,0.999362,0.960608
520,0,0,0.997646,0.999347,0.959901
530,0,0,0.997599,0.999339,0.958964
540,0,0,0.997555,0.999325,0.958257
550,0,0,0.997509,0.999314,0.957554
560,0,0,0.997468,0.999305,0.956972
570,0,0,0.997417,0.999296,0.955591
580,0,0,0.997374,0.999280,0.955068
590,0,0,0.997325,0.999270,0.953909
600,0,0,0.997283,0.999258,0.953411
610,0,0,0.997237,0.999247,0.952251
620,0,0,0.997196,0.999235,0.951759
630,0,0,0.997149,0.999218,0.950594
640,0,0,0.997105,0.999209,0.950119
650,0,0,0.997056,0.999189,0.949136
660,0,0,0.997012,0.999180,0.948425
670,0,0,0.996966,0.999156,0.947257
680,0,0,0.996925,0.999147,0.946744
690,0,0,0.996874,0.999137,0.945352
700,0,0,0.996833,0.999120,0.944833
710,0,0,0.996776,0.999110,0.942982
720,0,0,0.996733,0.999092,0.942481
730,0,0,0.996683,0.999083,0.941322
740,0,0,0.996648,0.999063,0.941266
750,0,0,0.996589,0.999051,0.939200
760,0,0,0.996549,0.999036,0.938936
770,0,0,0.996501,0.999025,0.937969
780,0,0,0.996464,0.999013,0.937685
790,0,0,0.996408,0.999004,0.936080
800,0,0,0.996369,0.998995,0.935779
810,0,0,0.996313,0.998985,0.934398
820,0,0,0.996271,0.998967,0.933885
830,0,0,0.996223,0.998958,0.932709
840,0,0,0.996179,0.998943,0.932006
850,0,0,0.996125,0.998933,0.930838
860,0,0,0.996088,0.998922,0.930759
870,0,0,0.996038,0.998912,0.929592
880,0,0,0.995996,0.998904,0.929090
890,0,0,0.995950,0.998885,0.928164
900,0,0,0.995909,0.998876,0.927456
910,0,0,0.995851,0.998866,0.925492
920,0,0,0.995810,0.998845,0.925016
930,0,0,0.995762,0.998835,0.924078
940,0,0,0.995715,0.998814,0.923114
950,0,0,0.995666,0.998804,0.922183
960,0,0,0.995626,0.998786,0.921705
970,0,0,0.995579,0.998778,0.920754
980,0,0,0.995543,0.998763,0.920713
990,0,0,0.995502,0.998754,0.920406
1000,0,0,0.995458,0.998743,0.919470
1010,0,0,0.995404,0.998731,0.918077
1020,0,0,0.995366,0.998714,0.917804
1030,0,0,0.995316,0.998704,0.916654
1040,0,0,0.995275,0.998689,0.916158
1050,0,0,0.995222,0.998679,0.914985
1060,0,0,0.995177,0.998666,0.914278
1070,0,0,0.995123,0.998658,0.912673
1080,0,0,0.995079,0.998647,0.912175
1090,0,0,0.995029,0.998636,0.911225
1100,0,0,0.994982,0.998625,0.910295
1110,0,0,0.994930,0.998617,0.908905
1120,0,0,0.994891,0.998605,0.908601
1130,0,0,0.994842,0.998597,0.907445
1140,0,0,0.994805,0.998577,0.907168
1150,0,0,0.994757,0.998566,0.906221
1160,0,0,0.994720,0.998556,0.905961
1170,0,0,0.994665,0.998545,0.904579
1180,0,0,0.994624,0.998537,0.903873
1190,0,0,0.994572,0.998518,0.902489
