Round,nodes alive,sent,avg energy,max energy,min energy
0,0,0,0.999990,0.999998,0.999805
5,0,0,0.999943,0.999988,0.998829
10,0,0,0.999895,0.999978,0.997853
15,0,0,0.999847,0.999968,0.996877
20,0,0,0.999802,0.999953,0.996088
25,0,0,0.999754,0.999943,0.995112
30,0,0,0.999706,0.999933,0.994136
35,0,0,0.999658,0.999923,0.993160
40,0,0,0.999611,0.999913,0.992184
45,0,0,0.999564,0.999896,0.991392
50,0,0,0.999516,0.999885,0.990416
55,0,0,0.999467,0.999864,0.989811
60,0,0,0.999420,0.999854,0.988835
65,0,0,0.999372,0.999844,0.987859
70,0,0,0.999325,0.999827,0.987067
75,0,0,0.999277,0.999817,0.986091
80,0,0,0.999231,0.999803,0.985302
85,0,0,0.999184,0.999792,0.984326
90,0,0,0.999137,0.999775,0.983534
95,0,0,0.999089,0.999765,0.982558
100,0,0,0.999043,0.999751,0.981770
105,0,0,0.998995,0.999741,0.980794
110,0,0,0.998948,0.999724,0.980002
115,0,0,0.998901,0.999713,0.979026
120,0,0,0.998853,0.999703,0.978050
125,0,0,0.998805,0.999693,0.977074
130,0,0,0.998760,0.999679,0.976285
135,0,0,0.998709,0.999662,0.975493
140,0,0,0.998662,0.999645,0.974701
145,0,0,0.998614,0.999635,0.973725
150,0,0,0.998566,0.999625,0.972749
155,0,0,0.998519,0.999615,0.971773
160,0,0,0.998471,0.999588,0.971352
165,0,0,0.998423,0.999577,0.970376
170,0,0,0.998375,0.999566,0.969400
175,0,0,0.998328,0.999556,0.968424
180,0,0,0.998282,0.999542,0.967635
185,0,0,0.998234,0.999532,0.966659
190,0,0,0.998187,0.999515,0.965867
195,0,0,0.998139,0.999505,0.964891
200,0,0,0.998092,0.999494,0.963915
205,0,0,0.998046,0.999480,0.963126
210,0,0,0.997998,0.999470,0.962150
215,0,0,0.997949,0.999447,0.961542
220,0,0,0.997901,0.999437,0.960566
225,0,0,0.997853,0.999426,0.959590
230,0,0,0.997805,0.999416,0.958614
235,0,0,0.997757,0.999406,0.957638
240,0,0,0.997710,0.999380,0.957217
245,0,0,0.997662,0.999369,0.956241
250,0,0,0.997614,0.999359,0.955265
255,0,0,0.997566,0.999348,0.954289
260,0,0,0.997518,0.999329,0.953684
265,0,0,0.997470,0.999318,0.952708
270,0,0,0.997423,0.999308,0.951732
275,0,0,0.997375,0.999297,0.950756
280,0,0,0.997324,0.999281,0.949964
285,0,0,0.997276,0.999271,0.948988
290,0,0,0.997229,0.999260,0.948012
295,0,0,0.997181,0.999243,0.947220
300,0,0,0.997136,0.999230,0.946431
305,0,0,0.997085,0.999214,0.945639
310,0,0,0.997038,0.999203,0.944663
315,0,0,0.996990,0.999193,0.943687
320,0,0,0.996945,0.999173,0.943082
325,0,0,0.996897,0.999162,0.942106
330,0,0,0.996850,0.999152,0.941130
335,0,0,0.996802,0.999141,0.940154
340,0,0,0.996755,0.999125,0.939362
