Round,nodes alive,sent,avg energy,max energy,min energy
0,0,0,0.999996,0.999999,0.452055
5,0,0,0.999976,0.999995,0.999341
10,0,0,0.999955,0.999992,0.998789
15,0,0,0.999934,0.999988,0.998242
20,0,0,0.999914,0.999984,0.997694
25,0,0,0.999893,0.999979,0.997145
30,0,0,0.999872,0.999975,0.996596
35,0,0,0.999852,0.999971,0.996046
40,0,0,0.999831,0.999968,0.995500
45,0,0,0.999811,0.999963,0.994959
50,0,0,0.999791,0.999960,0.994411
55,0,0,0.999770,0.999956,0.993862
60,0,0,0.999750,0.999952,0.993311
65,0,0,0.999730,0.999948,0.992764
70,0,0,0.999709,0.999944,0.992215
75,0,0,0.999688,0.999940,0.991662
80,0,0,0.999668,0.999935,0.991112
85,0,0,0.999647,0.999931,0.990562
90,0,0,0.999627,0.999927,0.990015
95,0,0,0.999605,0.999923,0.989462
100,0,0,0.999584,0.999919,0.988913
105,0,0,0.999564,0.999915,0.988373
110,0,0,0.999545,0.999911,0.987828
115,0,0,0.999523,0.999907,0.987275
120,0,0,0.999501,0.999904,0.986720
125,0,0,0.999480,0.999899,0.986169
130,0,0,0.999460,0.999896,0.985621
135,0,0,0.999439,0.999892,0.985068
140,0,0,0.999418,0.999888,0.984515
145,0,0,0.999397,0.999884,0.983963
150,0,0,0.999376,0.999879,0.983416
155,0,0,0.999355,0.999875,0.982858
160,0,0,0.999334,0.999871,0.982309
165,0,0,0.999314,0.999867,0.981769
170,0,0,0.999294,0.999863,0.981228
175,0,0,0.999274,0.999860,0.980678
180,0,0,0.999253,0.999856,0.980128
185,0,0,0.999232,0.999852,0.979580
190,0,0,0.999212,0.999848,0.979025
195,0,0,0.999192,0.999844,0.978481
200,0,0,0.999170,0.999839,0.977918
205,0,0,0.999149,0.999835,0.977367
210,0,0,0.999128,0.999831,0.976814
215,0,0,0.999107,0.999828,0.976263
220,0,0,0.999086,0.999823,0.975711
225,0,0,0.999065,0.999819,0.975166
230,0,0,0.999044,0.999815,0.974615
235,0,0,0.999024,0.999811,0.974066
240,0,0,0.999003,0.999808,0.973518
245,0,0,0.998983,0.999803,0.972971
250,0,0,0.998961,0.999799,0.972415
255,0,0,0.998941,0.999795,0.971868
260,0,0,0.998921,0.999792,0.971323
265,0,0,0.998901,0.999787,0.970774
270,0,0,0.998880,0.999783,0.970221
275,0,0,0.998859,0.999779,0.969673
280,0,0,0.998837,0.999775,0.969118
285,0,0,0.998817,0.999771,0.968570
290,0,0,0.998797,0.999767,0.968023
295,0,0,0.998775,0.999762,0.967466
300,0,0,0.998754,0.999758,0.966911
305,0,0,0.998734,0.999755,0.966362
310,0,0,0.998713,0.999751,0.965815
315,0,0,0.998693,0.999747,0.965267
320,0,0,0.998672,0.999743,0.964717
325,0,0,0.998652,0.999739,0.964163
330,0,0,0.998630,0.999735,0.963610
335,0,0,0.998609,0.999731,0.963057
340,0,0,0.998589,0.999727,0.962513
345,0,0,0.998569,0.999723,0.961965
350,0,0,0.998547,0.999720,0.961413
355,0,0,0.998527,0.999716,0.960861
360,0,0,0.998507,0.999712,0.960314
365,0,0,0.998487,0.999708,0.959769
370,0,0,0.998464,0.999703,0.959212
375,0,0,0.998445,0.999699,0.958667
380,0,0,0.998424,0.999695,0.958122
385,0,0,0.998404,0.999691,0.957579
390,0,0,0.998383,0.999687,0.957029
395,0,0,0.998362,0.999683,0.956478
400,0,0,0.998341,0.999678,0.955924
405,0,0,0.998319,0.999674,0.955370
410,0,0,0.998298,0.999670,0.954815
415,0,0,0.998277,0.999666,0.954264
420,0,0,0.998256,0.999662,0.953713
425,0,0,0.998235,0.999659,0.953159
430,0,0,0.998212,0.999655,0.952602
435,0,0,0.998192,0.999651,0.952055
440,0,0,0.998171,0.999646,0.951504
445,0,0,0.998150,0.999642,0.950951
450,0,0,0.998130,0.999638,0.950404
455,0,0,0.998109,0.999634,0.949853
460,0,0,0.998088,0.999630,0.949302
465,0,0,0.998067,0.999626,0.948749
470,0,0,0.998046,0.999623,0.948202
475,0,0,0.998024,0.999619,0.947647
480,0,0,0.998004,0.999615,0.947097
485,0,0,0.997982,0.999611,0.946546
490,0,0,0.997962,0.999607,0.945999
495,0,0,0.997942,0.999603,0.945456
500,0,0,0.997921,0.999599,0.944902
505,0,0,0.997900,0.999596,0.944353
510,0,0,0.997879,0.999592,0.943802
515,0,0,0.997859,0.999588,0.943250
520,0,0,0.997837,0.999584,0.942695
525,0,0,0.997815,0.999580,0.942140
530,0,0,0.997795,0.999576,0.941589
535,0,0,0.997773,0.999572,0.941032
540,0,0,0.997753,0.999568,0.940483
545,0,0,0.997732,0.999564,0.939932
550,0,0,0.997711,0.999560,0.939381
555,0,0,0.997690,0.999556,0.938830
560,0,0,0.997670,0.999552,0.938285
565,0,0,0.997650,0.999547,0.937739
570,0,0,0.997628,0.999543,0.937184
575,0,0,0.997607,0.999539,0.936633
580,0,0,0.997587,0.999535,0.936082
585,0,0,0.997566,0.999530,0.935532
590,0,0,0.997545,0.999526,0.934980
595,0,0,0.997524,0.999522,0.934429
600,0,0,0.997504,0.999519,0.933881
605,0,0,0.997484,0.999515,0.933331
610,0,0,0.997465,0.999511,0.932790
615,0,0,0.997444,0.999507,0.932240
620,0,0,0.997424,0.999503,0.931694
625,0,0,0.997403,0.999499,0.931147
630,0,0,0.997382,0.999495,0.930596
635,0,0,0.997362,0.999491,0.930050
640,0,0,0.997341,0.999487,0.929498
645,0,0,0.997320,0.999482,0.928951
650,0,0,0.997300,0.999479,0.928405
655,0,0,0.997280,0.999475,0.927860
660,0,0,0.997260,0.999471,0.927306
665,0,0,0.997238,0.999467,0.926755
670,0,0,0.997217,0.999463,0.926203
675,0,0,0.997197,0.999459,0.925653
680,0,0,0.997176,0.999455,0.925105
685,0,0,0.997156,0.999451,0.924553
690,0,0,0.997135,0.999447,0.924003
695,0,0,0.997115,0.999443,0.923453
700,0,0,0.997096,0.999439,0.922909
705,0,0,0.997075,0.999435,0.922364
710,0,0,0.997054,0.999431,0.921814
715,0,0,0.997033,0.999427,0.921261
720,0,0,0.997012,0.999423,0.920709
725,0,0,0.996991,0.999418,0.920154
730,0,0,0.996971,0.999415,0.919603
735,0,0,0.996950,0.999411,0.919052
740,0,0,0.996929,0.999407,0.918506
745,0,0,0.996909,0.999403,0.917963
750,0,0,0.996888,0.999399,0.917408
755,0,0,0.996867,0.999395,0.916854
760,0,0,0.996846,0.999391,0.916304
765,0,0,0.996826,0.999388,0.915760
